*******************************************************************************
 Revised: July 31, 2013             Moon / (Earth)                          301
 
 GEOPHYSICAL DATA (updated 2018-Aug-15):
  Vol. mean radius, km  = 1737.53+-0.03    Mass, x10^22 kg       =    7.349
  Radius (gravity), km  = 1738.0           Surface emissivity    =    0.92
  Radius (IAU), km      = 1737.4           GM, km^3/s^2          = 4902.800066
  Density, g/cm^3       =    3.3437        GM 1-sigma, km^3/s^2  =  +-0.0001  
  V(1,0)                =   +0.21          Surface accel., m/s^2 =    1.62
  Earth/Moon mass ratio = 81.3005690769    Farside crust. thick. = ~80 - 90 km
  Mean crustal density  = 2.97+-.07 g/cm^3 Nearside crust. thick.= 58+-8 km 
  Heat flow, Apollo 15  = 3.1+-.6 mW/m^2   Mean angular diameter = 31'05.2"
  Heat flow, Apollo 17  = 2.2+-.5 mW/m^2   Sid. rot. rate, rad/s = 0.0000026617
  Geometric Albedo      = 0.12             Mean solar day        = 29.5306 d
  Obliquity to orbit    = 6.67 deg         Orbit period          = 27.321582 d
  Semi-major axis, a    = 384400 km        Eccentricity          = 0.05490
  Mean motion, rad/s    = 2.6616995x10^-6  Inclination           = 5.145 deg
  Apsidal period        = 3231.50 d        Nodal period          = 6798.38 d
                                 Perihelion  Aphelion    Mean
  Solar Constant (W/m^2)         1414+-7     1323+-7     1368+-7
  Maximum Planetary IR (W/m^2)   1314        1226        1268
  Minimum Planetary IR (W/m^2)      5.2         5.2         5.2
********************************************************************************


*******************************************************************************
Ephemeris / WWW_USER Mon Jun  8 11:26:02 2026 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Moon (301)                      {source: DE441}
Center body name: Earth (399)                     {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2026-Apr-02 01:58:33.0000 TDB
Stop  time      : A.D. 2026-Apr-10 23:54:22.0000 TDB
Step-size       : 1 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 6378.137, 6378.137, 6356.752 km {Equator_a, b, pole_c}
Output units    : KM-S
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
EOP file        : eop.260605.p260901
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2026-JUN-05. PREDICTS-> 2026-AUG-31
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
**************************************************************************************************************************************************************************************************
$$SOE
2461132.582326389, A.D. 2026-Apr-02 01:58:33.0000, -3.846808143346038E+05, -8.076595511012599E+04, -1.969339865201373E+04,  1.710600775213360E-01, -9.864546711745981E-01, -7.741774917429423E-02,
2461132.583020833, A.D. 2026-Apr-02 01:59:33.0000, -3.846705462014035E+05, -8.082514143954021E+04, -1.969804348090717E+04,  1.712110280130991E-01, -9.864229721270874E-01, -7.740988032100249E-02,
2461132.583715278, A.D. 2026-Apr-02 02:00:33.0000, -3.846602690113791E+05, -8.088432586632052E+04, -1.970268783761793E+04,  1.713619716605847E-01, -9.863912500441273E-01, -7.740200975208911E-02,
2461132.584409722, A.D. 2026-Apr-02 02:01:33.0000, -3.846499827649412E+05, -8.094350838908483E+04, -1.970733172204310E+04,  1.715129084605070E-01, -9.863595049272800E-01, -7.739413746780177E-02,
2461132.585104167, A.D. 2026-Apr-02 02:02:33.0000, -3.846396874625009E+05, -8.100268900645117E+04, -1.971197513407978E+04,  1.716638384095812E-01, -9.863277367781089E-01, -7.738626346838823E-02,
2461132.585798611, A.D. 2026-Apr-02 02:03:33.0000, -3.846293831044692E+05, -8.106186771703759E+04, -1.971661807362501E+04,  1.718147615045225E-01, -9.862959455981769E-01, -7.737838775409694E-02,
2461132.586493055, A.D. 2026-Apr-02 02:04:33.0000, -3.846190696912575E+05, -8.112104451946238E+04, -1.972126054057596E+04,  1.719656777420465E-01, -9.862641313890479E-01, -7.737051032517550E-02,
2461132.587187500, A.D. 2026-Apr-02 02:05:33.0000, -3.846087472232773E+05, -8.118021941234375E+04, -1.972590253482974E+04,  1.721165871188695E-01, -9.862322941522863E-01, -7.736263118187209E-02,
2461132.587881945, A.D. 2026-Apr-02 02:06:33.0000, -3.845984157009405E+05, -8.123939239430010E+04, -1.973054405628352E+04,  1.722674896317080E-01, -9.862004338894564E-01, -7.735475032443456E-02,
2461132.588576389, A.D. 2026-Apr-02 02:07:33.0000, -3.845880751246589E+05, -8.129856346394998E+04, -1.973518510483441E+04,  1.724183852772788E-01, -9.861685506021236E-01, -7.734686775311111E-02,
2461132.589270833, A.D. 2026-Apr-02 02:08:33.0000, -3.845777254948447E+05, -8.135773261991193E+04, -1.973982568037960E+04,  1.725692740522991E-01, -9.861366442918531E-01, -7.733898346814994E-02,
2461132.589965278, A.D. 2026-Apr-02 02:09:33.0000, -3.845673668119101E+05, -8.141689986080457E+04, -1.974446578281630E+04,  1.727201559534869E-01, -9.861047149602111E-01, -7.733109746979888E-02,
